name,A4_1,A4_2,A4_3,A6_1,A6_2,A6_3,B2_1,B2_2,B2_3,E10_1,E10_2,E10_3,E6_1,E6_2,E6_3,E9_1,E9_2,E9_3,F1_1,F1_2,F1_3,G12_1,G12_2,G12_3,ctrl_1,ctrl_2,ctrl_3,Majority_Protein_ID,ID,imputed,A4_vs_ctrl_p.val,A6_vs_ctrl_p.val,B2_vs_ctrl_p.val,E10_vs_ctrl_p.val,E6_vs_ctrl_p.val,E9_vs_ctrl_p.val,F1_vs_ctrl_p.val,G12_vs_ctrl_p.val,status in ctrl,A4_vs_ctrl_p.val,A6_vs_ctrl_p.val,B2_vs_ctrl_p.val,E10_vs_ctrl_p.val,E6_vs_ctrl_p.val,E9_vs_ctrl_p.val,F1_vs_ctrl_p.adj,G12_vs_ctrl_p.val,SUM_BYPVAL,A4_vs_ctrl_p.adj,A6_vs_ctrl_p.adj,B2_vs_ctrl_p.adj,E10_vs_ctrl_p.adj,E6_vs_ctrl_p.adj,E9_vs_ctrl_p.adj,F1_vs_ctrl_p.adj,G12_vs_ctrl_p.adj,A4_vs_ctrl_p.adj,A6_vs_ctrl_p.adj,B2_vs_ctrl_p.adj,E10_vs_ctrl_p.adj,E6_vs_ctrl_p.adj,E9_vs_ctrl_p.adj,F1_vs_ctrl_p.adj,G12_vs_ctrl_p.adj,SUM_BYPADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,num_NAs,A4_vs_ctrl_CI.L,A4_vs_ctrl_CI.R,A4_vs_ctrl_diff,A4_vs_ctrl_p.adj,A4_vs_ctrl_p.val,A6_vs_ctrl_CI.L,A6_vs_ctrl_CI.R,A6_vs_ctrl_diff,A6_vs_ctrl_p.adj,A6_vs_ctrl_p.val,B2_vs_ctrl_CI.L,B2_vs_ctrl_CI.R,B2_vs_ctrl_diff,B2_vs_ctrl_p.adj,B2_vs_ctrl_p.val,E10_vs_ctrl_CI.L,E10_vs_ctrl_CI.R,E10_vs_ctrl_diff,E10_vs_ctrl_p.adj,E10_vs_ctrl_p.val,E6_vs_ctrl_CI.L,E6_vs_ctrl_CI.R,E6_vs_ctrl_diff,E6_vs_ctrl_p.adj,E6_vs_ctrl_p.val,E9_vs_ctrl_CI.L,E9_vs_ctrl_CI.R,E9_vs_ctrl_diff,E9_vs_ctrl_p.adj,E9_vs_ctrl_p.val,F1_vs_ctrl_CI.L,F1_vs_ctrl_CI.R,F1_vs_ctrl_diff,F1_vs_ctrl_p.adj,F1_vs_ctrl_p.val,G12_vs_ctrl_CI.L,G12_vs_ctrl_CI.R,G12_vs_ctrl_diff,G12_vs_ctrl_p.adj,G12_vs_ctrl_p.val,A4_vs_ctrl_significant,A6_vs_ctrl_significant,B2_vs_ctrl_significant,E10_vs_ctrl_significant,E6_vs_ctrl_significant,E9_vs_ctrl_significant,F1_vs_ctrl_significant,G12_vs_ctrl_significant,significant,A4_vs_ctrl_significant,A6_vs_ctrl_significant,B2_vs_ctrl_significant,E10_vs_ctrl_significant,E6_vs_ctrl_significant,E9_vs_ctrl_significant,F1_vs_ctrl_significant,G12_vs_ctrl_significant,SUM_STATUS
NP_001230912.1_Aimp2,4.671007986,4.758075695,4.760327865,4.650712088,4.760489389,4.730492632,4.747709973,4.751267847,4.738177101,4.763932659,4.729383918,4.614706287,4.760323406,4.770138079,4.769828272,4.762448149,4.776230682,4.77115672,4.748266423,4.749791957,4.749134715,4.752962532,4.717182935,4.740843546,4.647741699,4.726016364,4.697272594,NP_001230912.1_Aimp2,NP_001230912.1_Aimp2,TRUE,0.206662802,0.445476119,0.081589399,0.688106639,0.019630043,0.015590683,0.065922868,0.138294543,not in ct,0,0,0,0,1,1,0,0,2,0.882989764,0.888072656,0.86841684,0.91518792,0.802405217,0.771987607,0.868695654,0.89340476,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.023477046,0.102397638,0.039460296,0.882989764,0.206662802,-0.039382858,0.086491826,0.023554484,0.888072656,0.445476119,-0.007562588,0.118312097,0.055374755,0.86841684,0.081589399,-0.050606607,0.075268078,0.012330735,0.91518792,0.688106639,0.013482358,0.139357042,0.0764197,0.802405217,0.019630043,0.016664289,0.142538974,0.079601631,0.771987607,0.015590683,-0.00421653,0.121658155,0.058720812,0.868695654,0.065922868,-0.016284557,0.109590127,0.046652785,0.89340476,0.138294543,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230926.1_LOC100689011,4.636745952,4.634208123,4.617462141,4.652195961,4.660752089,4.626833293,4.643201326,4.663938108,4.630165001,4.628018703,4.66182644,4.581079062,4.625948745,4.652338834,4.648351183,4.620782723,4.636553745,4.618253851,4.633676941,4.671800111,4.634888709,4.642513225,4.662559264,4.565746789,4.689957708,4.735901009,4.542482327,NP_001230926.1_LOC100689011,NP_001230926.1_LOC100689011,TRUE,0.418500839,0.771006203,0.751817103,0.325887684,0.671189484,0.349086173,0.775556318,0.325378638,not in ct,0,0,0,0,0,0,0,0,0,0.895206261,0.89998166,0.906888292,0.90220356,0.877608209,0.844250362,0.910500553,0.90691067,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.093718151,0.040434933,-0.026641609,0.895206261,0.418500839,-0.076596443,0.057556641,-0.009519901,0.89998166,0.771006203,-0.077422078,0.056731006,-0.010345536,0.906888292,0.751817103,-0.099548822,0.034604262,-0.03247228,0.90220356,0.325887684,-0.080977303,0.053175781,-0.013900761,0.877608209,0.671189484,-0.09799345,0.036159634,-0.030916908,0.844250362,0.349086173,-0.076401636,0.057751448,-0.009325094,0.910500553,0.775556318,-0.099583797,0.034569287,-0.032507255,0.90691067,0.325378638,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230930.1_Pex5,4.692211448,4.687096621,4.677675354,4.628828355,4.681449771,4.666959096,4.691960407,4.682451686,4.68895702,4.660098304,4.654692676,4.676126209,4.69037778,4.69264413,4.699815356,4.689410099,4.694575949,4.724471814,4.66936589,4.689399496,4.673926278,4.656804938,4.691011891,4.682170719,4.694827021,4.736234518,4.602568849,NP_001230930.1_Pex5,NP_001230930.1_Pex5,TRUE,0.717785256,0.386304594,0.645655708,0.510111385,0.448729263,0.253477378,0.988390725,0.954972647,not in ct,0,0,0,0,0,0,0,0,0,0.90499995,0.88508509,0.904058809,0.909883477,0.868873334,0.83705933,0.915210615,0.924734181,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.0363617,0.05193039,0.007784345,0.90499995,0.717785256,-0.062943767,0.025348323,-0.018797722,0.88508509,0.386304594,-0.034233137,0.054058953,0.009912908,0.904058809,0.645655708,-0.058383778,0.029908312,-0.014237733,0.909883477,0.510111385,-0.027743752,0.060548338,0.016402293,0.868873334,0.448729263,-0.019203554,0.069088536,0.024942491,0.83705933,0.253477378,-0.044458953,0.043833137,-0.000312908,0.915210615,0.988390725,-0.045360325,0.042931765,-0.00121428,0.924734181,0.954972647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230931.2_Polr2a,4.702146794,4.665066179,4.672781944,4.679153326,4.648767594,4.686611866,4.698496462,4.694718464,4.695191234,4.684170836,4.664294835,4.708962653,4.686440813,4.605219675,4.68732382,4.695298687,4.636146788,4.636824071,4.702412397,4.634995439,4.676699807,4.690172913,4.682008937,4.685686554,4.708612928,4.712891397,4.615963091,NP_001230931.2_Polr2a,NP_001230931.2_Polr2a,TRUE,0.972912528,0.758255585,0.4961349,0.788746006,0.435372984,0.357408036,0.75392789,0.784210478,not in ct,0,0,0,0,0,0,0,0,0,0.911080412,0.899602725,0.899355336,0.917704015,0.868237986,0.844784989,0.909976558,0.921192335,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.050091588,0.051776588,0.0008425,0.911080412,0.972912528,-0.058578964,0.043289211,-0.007644876,0.899602725,0.758255585,-0.033954506,0.067913669,0.016979582,0.899355336,0.4961349,-0.044280451,0.057587724,0.006653636,0.917704015,0.788746006,-0.070428457,0.031439719,-0.019494369,0.868237986,0.435372984,-0.074000044,0.027868131,-0.023065956,0.844784989,0.357408036,-0.058720678,0.043147497,-0.007786591,0.909976558,0.75392789,-0.044133758,0.057734417,0.00680033,0.921192335,0.784210478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230956.1_Cdk2,4.624733094,4.665457968,4.668477321,4.68891194,4.681675817,4.630913458,4.663979302,4.678687517,4.658541306,4.677644688,4.641144769,4.7047183,4.664928529,4.653284071,4.621509644,4.701619291,4.666279601,4.671234121,4.660739147,4.622513708,4.652969115,4.651268063,4.639586371,4.6552288,4.686742055,4.73261684,4.576449574,NP_001230956.1_Cdk2,NP_001230956.1_Cdk2,TRUE,0.645780934,0.943696896,0.946590891,0.73146539,0.489003717,0.592176288,0.462618697,0.539105702,not in ct,0,0,0,0,0,0,0,0,0,0.903010892,0.904726327,0.911423634,0.916304381,0.870692651,0.856578765,0.901402603,0.914927782,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.067534152,0.042774095,-0.012380029,0.903010892,0.645780934,-0.053256541,0.057051705,0.001897582,0.904726327,0.943696896,-0.053354238,0.056954008,0.001799885,0.911423634,0.946590891,-0.045921027,0.06438722,0.009233096,0.916304381,0.73146539,-0.073849532,0.036458715,-0.018695408,0.870692651,0.489003717,-0.040712609,0.069595638,0.014441515,0.856578765,0.592176288,-0.07501629,0.035291957,-0.019862166,0.901402603,0.462618697,-0.071729202,0.038579045,-0.016575079,0.914927782,0.539105702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230974.1_Adsl,4.760026885,4.753438144,4.773322042,4.778614881,4.747967899,4.758828502,4.767974476,4.75550062,4.754826178,4.757549405,4.768569675,4.784573226,4.777933686,4.757734721,4.763293103,4.782026507,4.776466415,4.792044335,4.766597341,4.757436831,4.773998493,4.758038335,4.765484398,4.768043879,4.668090624,4.756627306,4.594531029,NP_001230974.1_Adsl,NP_001230974.1_Adsl,TRUE,0.000738794,0.000775671,0.00099739,0.000316365,0.000479802,7.71617E-05,0.000495881,0.000623704,not in ct,1,1,1,1,1,1,1,1,8,0.755574326,0.712608741,0.768910045,0.729634939,0.695247808,0.591870452,0.753403245,0.772921062,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.042076809,0.136281932,0.089179371,0.755574326,0.000738794,0.041618213,0.135823336,0.088720774,0.712608741,0.000775671,0.039248211,0.133453333,0.086350772,0.768910045,0.00099739,0.050045221,0.144250344,0.097147782,0.729634939,0.000316365,0.046134956,0.140340078,0.093237517,0.695247808,0.000479802,0.063326872,0.157531994,0.110429433,0.591870452,7.71617E-05,0.045825341,0.140030463,0.092927902,0.753403245,0.000495881,0.04366999,0.137875112,0.090772551,0.772921062,0.000623704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230975.1_Casp3,4.591600233,4.64646544,4.653457248,4.613646177,4.618461897,4.635104019,4.635467798,4.667801451,4.643615358,4.628239934,4.643211439,4.596555954,4.63327646,4.641769925,4.66747359,4.641049733,4.663215335,4.676815892,4.593549293,4.636899883,4.617361,4.605402857,4.636168828,4.643172663,4.634372377,4.747554496,4.617802106,NP_001230975.1_Casp3,NP_001230975.1_Casp3,TRUE,0.151561877,0.082566599,0.475562954,0.084298488,0.440357545,0.800186591,0.048920509,0.128700263,not in ct,0,0,0,0,0,0,1,0,1,0.87761605,0.852289473,0.898615283,0.87867584,0.868477108,0.86415637,0.863391361,0.892247731,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-0.08644606,0.014308687,-0.036068686,0.87761605,0.151561877,-0.094549669,0.006205078,-0.044172295,0.852289473,0.082566599,-0.067992164,0.032762583,-0.017614791,0.898615283,0.475562954,-0.094284591,0.006470156,-0.043907217,0.87867584,0.084298488,-0.069447042,0.031307705,-0.019069668,0.868477108,0.440357545,-0.05659338,0.044161367,-0.006216007,0.86415637,0.800186591,-0.101016975,-0.000262228,-0.050639601,0.863391361,0.048920509,-0.088705584,0.012049163,-0.038328211,0.892247731,0.128700263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230980.1_Gna11,4.644678836,4.642822778,4.645580803,4.6444262,4.670196271,4.626563559,4.617095398,4.626044801,4.633928704,4.618749778,4.642876533,4.621145757,4.638987992,4.640526705,4.641460701,4.625510598,4.640496426,4.619387628,4.633201794,4.59780439,4.616798305,4.644681722,4.637442682,4.629210011,4.62446652,4.708599098,4.621651754,NP_001230980.1_Gna11,NP_001230980.1_Gna11,TRUE,0.670757986,0.790064849,0.136503823,0.166181461,0.508624156,0.181476363,0.044902751,0.396993683,not in ct,0,0,0,0,0,0,1,0,1,0.903719507,0.900539478,0.877365106,0.890694883,0.871532013,0.829624288,0.861841232,0.91004093,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.041961998,0.027538695,-0.007211651,0.903719507,0.670757986,-0.039260793,0.0302399,-0.004510447,0.900539478,0.790064849,-0.06063317,0.008867523,-0.025882823,0.877365106,0.136503823,-0.058732114,0.010768579,-0.023981768,0.890694883,0.166181461,-0.045997671,0.023503022,-0.011247325,0.871532013,0.508624156,-0.05785792,0.011642773,-0.023107573,0.829624288,0.181476363,-0.070387974,-0.000887281,-0.035637628,0.861841232,0.044902751,-0.049211332,0.020289361,-0.014460985,0.91004093,0.396993683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230982.1_Gnas,4.716557097,4.733200027,4.718742548,4.740770398,4.750539123,4.722144396,4.725755924,4.744666406,4.742156986,4.706342522,4.705224771,4.721754844,4.705028941,4.729675467,4.732342664,4.72726379,4.735871568,4.718777901,4.709856269,4.72114714,4.724342533,4.707715636,4.703941024,4.702763357,4.65072786,4.784282589,4.686365903,NP_001230982.1_Gnas,NP_001230982.1_Gnas,TRUE,0.441867223,0.140369883,0.143988086,0.844421958,0.455877161,0.325349463,0.578044206,0.908991769,not in ct,0,0,0,0,0,0,0,0,0,0.896162229,0.86386222,0.878278964,0.918995203,0.869206465,0.842657598,0.905224642,0.923823035,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.025927607,0.057343154,0.015707774,0.896162229,0.441867223,-0.010942859,0.072327902,0.030692522,0.86386222,0.140369883,-0.011234392,0.072036369,0.030400988,0.878278964,0.143988086,-0.037653452,0.045617309,0.003981928,0.918995203,0.844421958,-0.026411807,0.056858954,0.015223573,0.869206465,0.455877161,-0.021456412,0.061814349,0.020178969,0.842657598,0.325349463,-0.030312184,0.052958577,0.011323197,0.905224642,0.578044206,-0.043954159,0.039316602,-0.002318778,0.923823035,0.908991769,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
NP_001230984.1_Gnao1,4.657797551,4.69175507,4.684889147,4.638097307,4.707885562,4.706948523,4.662776591,4.662537023,4.677978805,4.639790615,4.680568874,4.665598382,4.676551728,4.706541545,4.708124566,4.689443553,4.709238079,4.704718938,4.682934239,4.700791324,4.705285657,4.685475334,4.700431812,4.678130546,4.741111608,4.736165752,4.55000857,NP_001230984.1_Gnao1,NP_001230984.1_Gnao1,TRUE,0.94007248,0.787763635,0.801117358,0.664832016,0.504036671,0.427350396,0.518719163,0.699899242,not in ct,0,0,0,0,0,0,0,0,0,0.910358139,0.900472653,0.908102959,0.914565357,0.871338296,0.848876043,0.903352888,0.919241308,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.062743233,0.067513791,0.002385279,0.910358139,0.94007248,-0.056580025,0.073676999,0.008548487,0.900472653,0.787763635,-0.073126349,0.057130674,-0.007997837,0.908102959,0.801117358,-0.078904532,0.051352492,-0.01377602,0.914565357,0.664832016,-0.043817876,0.086439148,0.021310636,0.871338296,0.504036671,-0.039756966,0.090500058,0.025371546,0.848876043,0.427350396,-0.044553415,0.085703608,0.020575097,0.903352888,0.518719163,-0.052877925,0.077379099,0.012250587,0.919241308,0.699899242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
