name,protein_name,A4_1,A4_2,A4_3,count_missing_A4,A6_1,A6_2,A6_3,count_missing_A6,B2_1,B2_2,B2_3,count_missing_B2,E10_1,E10_2,E10_3,count_missing_E10,E6_1,E6_2,E6_3,count_missing_E6,E9_1,E9_2,E9_3,count_missing_E9,F1_1,F1_2,F1_3,count_missing_F1,G12_1,G12_2,G12_3,count_missing_G12,ctrl_1,ctrl_2,ctrl_3,count_missing_ctrl,status in producer,status in control,Protein.IDs,Majority.protein.IDs,vlookup_PPIandRNA
NP_001230908.1_Tuba1b,Tuba1b,33.96214015,33.8776525,34.53516056,0,33.43992635,33.16419265,34.31290016,0,34.42468904,34.41433062,34.03625548,0,34.06520066,34.35520737,33.80281953,0,34.42086572,34.44646146,34.59636982,0,34.51871536,34.20395294,34.80249853,0,33.66438566,34.73262771,34.35091173,0,33.55965171,34.0751901,34.47852221,0,32.02583972,32.33997656,31.66455275,0,in producer,DETECTED IN NONPROD,NP_001230908.1_Tuba1b,NP_001230908.1_Tuba1b,#N/A
NP_001230912.1_Aimp2,Aimp2,25.47649861,26.99407025,27.03392218,0,25.03510238,26.98935184,26.58485388,0,26.81738462,26.83507294,26.61284638,0,27.0645231,26.40868998,NA,1,27.03270657,27.26763111,27.34147878,0,27.11864416,27.40109559,27.3818232,0,26.78957071,26.88482989,26.78091554,0,26.81688179,26.20605053,26.6272258,0,NA,NA,25.94664699,2,in producer,NOT IN NONPROD,NP_001230912.1_Aimp2,NP_001230912.1_Aimp2,#N/A
NP_001230926.1_LOC100689011,LOC100689011,24.89677894,24.83768641,24.5426632,0,25.06063631,25.20110225,24.81751989,0,24.97231254,25.26081436,24.72636724,0,24.64121403,25.19186466,NA,1,24.65307458,25.16134376,25.19309473,0,24.59401065,24.91512068,24.70654524,0,24.7747563,25.477891,24.72546804,0,24.85122648,25.24068812,NA,1,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001230926.1_LOC100689011,NP_001230926.1_LOC100689011,#N/A
NP_001230930.1_Pex5,Pex5,25.84222184,25.73581542,25.56265827,0,24.66156863,25.56210831,25.48662316,0,25.81652621,25.58663947,25.73566499,0,25.19277777,25.06666772,25.52570366,0,25.76641199,25.86274794,26.08123337,0,25.78609393,25.91866693,26.53473092,0,25.38520192,25.78876516,25.40958371,0,25.09718014,25.7389692,25.55704973,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001230930.1_Pex5,NP_001230930.1_Pex5,#N/A
NP_001230931.2_Polr2a,Polr2a,26.01544735,25.35769986,25.478167,0,25.52910966,24.9944255,25.82118685,0,25.93187521,25.80483972,25.84512083,0,25.61479978,25.23532913,26.10963577,0,25.69694561,24.36582176,25.86274159,0,25.8910467,24.90822353,25.01653972,0,25.9640724,24.83990415,25.45889638,0,25.68100048,25.58023966,25.61995921,0,NA,NA,24.55381372,2,in producer,NOT IN NONPROD,NP_001230931.2_Polr2a,NP_001230931.2_Polr2a,#N/A
NP_001230935.1_Chcr2,Chcr2,27.21646244,26.92667743,27.58972428,0,26.85960493,26.41365694,27.6669455,0,27.64336816,26.93330722,27.10415357,0,27.31337432,26.73791836,27.72526704,0,27.39377205,27.74387126,27.90528905,0,27.75616948,27.12705978,27.69790824,0,26.93773291,27.41292621,27.20795378,0,26.66400886,27.07092044,27.37045039,0,26.23354551,NA,25.76914245,1,in producer,DETECTED IN NONPROD,NP_001230935.1_Chcr2,NP_001230935.1_Chcr2,#N/A
NP_001230956.1_Cdk2,Cdk2,24.69675671,25.36437396,25.40407847,0,25.70086712,25.56607963,24.88471053,0,25.32857677,25.52005388,25.2083776,0,25.49969158,24.83060036,26.03340831,0,25.32069835,25.17756969,24.74229674,0,26.00417695,25.4242142,25.60160271,0,25.23625816,24.62720979,25.04001873,0,25.00160394,24.84547979,25.08002748,0,NA,NA,23.90476586,2,in producer,NOT IN NONPROD,NP_001230956.1_Cdk2,NP_001230956.1_Cdk2,#N/A
NP_001230962.1_Rpsa,Rpsa,29.92459782,29.76604773,30.020294,0,29.55573221,29.4723289,29.92044992,0,29.78196497,29.61662973,29.74205312,0,29.53569846,29.29403682,29.52137431,0,29.9122012,29.96020335,29.9369901,0,30.11223383,30.03414076,30.18380495,0,29.380791,29.67587575,29.29671755,0,29.11289147,29.26005804,29.24037021,0,29.61174487,29.22676431,28.94904713,0,in producer,DETECTED IN NONPROD,NP_001230962.1_Rpsa,NP_001230962.1_Rpsa,#N/A
NP_001230963.1_Top1,Top1,30.55418311,29.71807696,30.17015683,0,30.05429916,29.46461062,29.66531125,0,29.43497611,30.22200041,29.34553415,0,31.63295396,31.32601128,30.48726901,0,30.27695354,29.36932141,30.08296264,0,29.24203499,29.15580812,29.90458363,0,31.50220219,31.01611815,32.24131818,0,31.54330258,32.03326772,32.10816524,0,33.18182875,33.29754694,33.07303377,0,in producer,DETECTED IN NONPROD,NP_001230963.1_Top1,NP_001230963.1_Top1,#N/A
NP_001230968.1_Eef2,Eef2,32.90634694,32.74289252,32.64104049,0,32.69404768,32.59394823,32.5973143,0,32.73281034,32.44655419,32.6569816,0,32.73014896,32.80539478,32.92264751,0,32.94600568,32.80760991,32.96183803,0,32.88655603,32.90460636,32.89766956,0,32.92616131,32.98799232,32.90828929,0,32.54271524,32.75724113,32.86663639,0,32.658909,32.34818644,32.39073236,0,in producer,DETECTED IN NONPROD,NP_001230968.1_Eef2,NP_001230968.1_Eef2,#N/A
NP_001230969.1_Rps17,Rps17,27.54850229,28.23404823,28.29790361,0,27.26355411,27.29337131,28.31294986,0,28.63562352,28.08933842,28.16645791,0,28.55943437,27.92467124,27.71401132,0,28.36328715,28.67561278,28.60555739,0,28.66321418,28.5335155,28.73189018,0,27.4515534,28.35164886,28.36729389,0,28.20786615,27.80573158,28.45863311,0,30.05387764,30.12753943,28.47773767,0,in producer,DETECTED IN NONPROD,NP_001230969.1_Rps17,NP_001230969.1_Rps17,#N/A
NP_001230972.1_Rps2,Rps2,29.48779987,30.0255549,29.86302153,0,29.38697132,29.43757507,29.61019396,0,29.80537753,30.06692367,29.79940511,0,29.85177785,29.93931438,30.25906613,0,29.99300888,30.01941588,29.84753652,0,30.09497293,30.06216978,29.92445158,0,29.70522499,30.04189994,30.05155394,0,29.83808634,29.94739818,29.98467581,0,30.07458603,29.28628788,30.00446638,0,in producer,DETECTED IN NONPROD,NP_001230972.1_Rps2,NP_001230972.1_Rps2,#N/A
NP_001230974.1_Adsl,Adsl,27.04866602,26.90995641,27.27298927,0,27.33531732,26.75800319,27.0904746,0,27.19087844,26.91382329,26.91639731,0,26.94553039,27.1410439,27.50584273,0,27.36131401,27.0376688,27.22123997,0,27.48745697,27.40549789,27.76979245,0,27.12698784,27.02687683,27.25022543,0,26.91088208,27.09066456,27.13830999,0,NA,NA,24.19956647,2,in producer,NOT IN NONPROD,NP_001230974.1_Adsl,NP_001230974.1_Adsl,#N/A
NP_001230975.1_Casp3,Casp3,NA,25.04291374,25.14728644,1,24.40573229,24.47938838,24.95391717,0,24.84101618,25.32846157,24.95365846,0,24.64497595,24.86646822,NA,1,24.77720687,24.98064007,25.51940537,0,24.94017604,25.37124852,25.69782991,0,24.10618146,24.87251882,24.42427237,0,24.22383465,24.78722276,24.86943431,0,NA,NA,24.58445636,2,in producer,NOT IN NONPROD,NP_001230975.1_Casp3,NP_001230975.1_Casp3,#N/A
NP_001230979.1_Ldha,Ldha,31.18805691,31.22069913,31.119621,0,31.37268544,31.32432572,31.0065756,0,31.10825152,30.95257315,31.06683129,0,31.07583842,31.15284902,31.34821923,0,31.1330083,31.50195327,31.50763363,0,31.36397899,31.13427706,31.10721163,0,30.80385789,30.61372821,30.77998942,0,30.81129618,31.0166237,30.65338435,0,32.08829264,31.50200272,31.29049791,0,in producer,DETECTED IN NONPROD,NP_001230979.1_Ldha;XP_027266270.1_LOC100751672;XP_027266269.1_LOC100751672,NP_001230979.1_Ldha,#N/A
NP_001230980.1_Gna11,Gna11,25.02978272,24.98174158,25.01369074,0,24.92722792,25.36518413,24.81308471,0,24.5319051,24.60681496,24.78975494,0,24.48411797,24.86065231,24.57725113,0,24.87439897,24.95947078,25.07656928,0,24.6743296,24.9820424,24.72535735,0,24.76673052,NA,24.41466352,1,24.88838871,24.80892135,24.62772752,0,NA,NA,24.64872778,2,in producer,NOT IN NONPROD,NP_001230980.1_Gna11;XP_027262381.1_LOC100762675;XP_027249993.1_Gnaz,NP_001230980.1_Gna11,#N/A
NP_001230982.1_Gnas,Gnas,26.26882418,26.54603422,26.28314582,0,26.6333538,26.80534579,26.43777312,0,26.418627,26.71271395,26.68509058,0,26.0097758,25.96698427,26.34074115,0,26.02659805,26.52467801,26.65913014,0,26.468297,26.65789668,26.43327822,0,26.09630524,26.35923296,26.32094047,0,25.99339335,25.96865997,25.92770751,0,NA,NA,25.75522601,2,in producer,NOT IN NONPROD,NP_001230982.1_Gnas;XP_027258509.1_Gnal;XP_027258508.1_Gnal,NP_001230982.1_Gnas,#N/A
NP_001230983.1_Gnai2,Gnai2,28.74741802,29.41473654,29.56949392,0,28.99915362,29.70315455,29.86696542,0,29.37812524,29.71606964,29.61072576,0,29.43566783,30.02033708,29.47022698,0,29.54626173,29.95467728,30.06647598,0,29.3180292,29.66422513,29.83655772,0,29.1492135,30.01619101,29.82953472,0,29.25750798,29.66525897,29.45786914,0,NA,28.01844894,28.42637685,1,in producer,DETECTED IN NONPROD,NP_001230983.1_Gnai2,NP_001230983.1_Gnai2,#N/A
NP_001230984.1_Gnao1,Gnao1,25.25134367,25.816512,25.68773778,0,24.81908917,26.03079298,26.17222394,0,25.30781462,25.23632606,25.5440633,0,24.84219264,25.52375745,25.3412826,0,25.52328994,26.10917305,26.22762241,0,25.78668898,26.17871367,26.18448712,0,25.62127344,25.99202053,25.9727074,0,25.59799081,25.90611389,25.48494722,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001230984.1_Gnao1,NP_001230984.1_Gnao1,#N/A
NP_001230987.1_Gnai3,Gnai3,27.02267714,26.73172981,26.60615168,0,26.22378833,26.81606922,26.92173792,0,26.50391847,27.31634703,26.98720375,0,26.54127867,27.13441033,27.80832082,0,26.67889167,26.77250769,26.82506819,0,26.44644163,27.19566182,26.73141578,0,26.74801416,26.73973413,26.81629659,0,26.63839501,26.70410493,26.48634647,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001230987.1_Gnai3;NP_001230985.1_Gnai1;XP_027251280.1_Gnat2;XP_027249273.1_Gnat3;XP_027270291.1_Gnat1,NP_001230987.1_Gnai3;NP_001230985.1_Gnai1,#N/A
NP_001231004.1_Gja1,Gja1,25.55053153,25.65242369,26.10820384,0,25.43210752,26.10314841,25.76427787,0,26.0925043,26.39217819,26.67476964,0,25.19168131,25.49921574,26.35721514,0,25.60084809,26.20295778,26.01915227,0,26.53916315,26.81707757,26.52160317,0,25.62595107,25.73140727,25.89552202,0,24.89904135,25.27900345,25.52508914,0,NA,NA,25.9966941,2,in producer,NOT IN NONPROD,NP_001231004.1_Gja1,NP_001231004.1_Gja1,#N/A
NP_001231027.1_Tubb4b,Tubb4b,33.75834644,33.74712762,34.30229158,0,33.68808038,33.61932816,34.15220704,0,34.19787825,33.70695427,33.70893237,0,33.70185851,33.95988338,33.67414598,0,34.17443689,34.27032895,34.45501499,0,34.62369132,34.11899566,34.73778083,0,33.70207896,34.3191968,33.98079106,0,33.4339024,33.73967699,34.06968856,0,32.17412171,33.18451777,31.8278124,0,in producer,DETECTED IN NONPROD,NP_001231027.1_Tubb4b,NP_001231027.1_Tubb4b,#N/A
NP_001231030.1_Tubb,Tubb,31.85247387,31.98705617,32.27440601,0,30.94599913,30.98242859,32.84259737,0,32.87596909,31.73471865,31.73968648,0,32.17258352,32.30885316,32.49160124,0,32.38064094,31.9016534,33.43718513,0,33.33082473,32.20289481,33.72264198,0,31.89805136,32.64982183,32.29278462,0,31.83769012,31.31888368,32.51529253,0,30.78173872,32.89485418,30.07295286,0,in producer,DETECTED IN NONPROD,NP_001231030.1_Tubb;XP_027265039.1_LOC107979996,NP_001231030.1_Tubb,#N/A
