"","name","A4_1","A4_2","A4_3","A6_1","A6_2","A6_3","B2_1","B2_2","B2_3","E10_1","E10_2","E10_3","E6_1","E6_2","E6_3","E9_1","E9_2","E9_3","F1_1","F1_2","F1_3","G12_1","G12_2","G12_3","ctrl_1","ctrl_2","ctrl_3","protein_name","count_missing_A4","count_missing_A6","count_missing_B2","count_missing_E10","count_missing_E6","count_missing_E9","count_missing_F1","count_missing_G12","count_missing_ctrl","status.in.producer","status.in.control","Protein.IDs","Majority.protein.IDs","vlookup_PPIandRNA","ID","imputed","num_NAs","A4_vs_ctrl_CI.L","A4_vs_ctrl_CI.R","A4_vs_ctrl_diff","A4_vs_ctrl_p.adj","A4_vs_ctrl_p.val","A6_vs_ctrl_CI.L","A6_vs_ctrl_CI.R","A6_vs_ctrl_diff","A6_vs_ctrl_p.adj","A6_vs_ctrl_p.val","B2_vs_ctrl_CI.L","B2_vs_ctrl_CI.R","B2_vs_ctrl_diff","B2_vs_ctrl_p.adj","B2_vs_ctrl_p.val","E10_vs_ctrl_CI.L","E10_vs_ctrl_CI.R","E10_vs_ctrl_diff","E10_vs_ctrl_p.adj","E10_vs_ctrl_p.val","E6_vs_ctrl_CI.L","E6_vs_ctrl_CI.R","E6_vs_ctrl_diff","E6_vs_ctrl_p.adj","E6_vs_ctrl_p.val","E9_vs_ctrl_CI.L","E9_vs_ctrl_CI.R","E9_vs_ctrl_diff","E9_vs_ctrl_p.adj","E9_vs_ctrl_p.val","F1_vs_ctrl_CI.L","F1_vs_ctrl_CI.R","F1_vs_ctrl_diff","F1_vs_ctrl_p.adj","F1_vs_ctrl_p.val","G12_vs_ctrl_CI.L","G12_vs_ctrl_CI.R","G12_vs_ctrl_diff","G12_vs_ctrl_p.adj","G12_vs_ctrl_p.val","A4_vs_ctrl_significant","A6_vs_ctrl_significant","B2_vs_ctrl_significant","E10_vs_ctrl_significant","E6_vs_ctrl_significant","E9_vs_ctrl_significant","F1_vs_ctrl_significant","G12_vs_ctrl_significant","significant"
"1","NP_001230908.1_Tuba1b",5.08585546916425,5.08226200367953,5.10999402589401,5.06349976483586,5.05155450018317,5.10067916393726,5.10537171736739,5.10493754380269,5.08900042164135,5.0902267998284,5.10245688614279,5.07907168317877,5.10521147797856,5.10628388343927,5.11254875941281,5.10930686942035,5.09609116144245,5.12111897818684,5.07315123227347,5.11821965737178,5.10227648595093,5.06865583811256,5.09064980050368,5.10762603503381,5.00116449352602,5.01524672803462,4.98479679690802,"Tuba1b",0,0,0,0,0,0,0,0,0,"in producer","DETECTED IN NONPROD","NP_001230908.1_Tuba1b","NP_001230908.1_Tuba1b","#N/A","NP_001230908.1_Tuba1b",FALSE,0,0.0626791205979751,0.121923199581444,0.0923011600897095,0.462748077353967,1.640317632554e-06,0.0418864306708089,0.101130509654278,0.0715084701625432,0.612071688527948,5.12356386466592e-05,0.0697451819558602,0.128989260939329,0.0993672214475945,0.334340867984835,5.37749596381637e-07,0.0605604107353653,0.119804489718834,0.0901824502270996,0.536472173695174,2.30535815163117e-06,0.0779899946289271,0.137234073612396,0.107612034120661,0.434961072929231,1.52368100301112e-07,0.078814290701925,0.138058369685394,0.108436330193659,1,1.3464641723675e-07,0.0678577462174397,0.127101825200908,0.097479785709174,0.444887685638253,7.22154169590941e-07,0.0589525122353958,0.118196591218864,0.0885745517271301,0.37455982133574,2.99003296928212e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","NP_001230912.1_Aimp2",4.6710951077603,4.75457062214633,4.75669893340211,4.64588045016189,4.75431842521395,4.73253263175466,4.74509663937279,4.74604790437092,4.73405091711143,4.75833106164575,4.72294083235477,4.60819791285385,4.75663405957663,4.76911746568313,4.77301936895342,4.76121314531805,4.77616167313377,4.77514660554554,4.74359955775797,4.74872043807858,4.74313337677588,4.74506958836992,4.71182803878183,4.73483022178101,4.60726603352008,4.69721430690963,4.69747621021636,"Aimp2",0,0,0,1,0,0,0,0,2,"in producer","NOT IN NONPROD","NP_001230912.1_Aimp2","NP_001230912.1_Aimp2","#N/A","NP_001230912.1_Aimp2",TRUE,3,-0.00422321269449946,0.124495287802938,0.0601360375542193,0.782258751809177,0.0655986149933559,-0.0207675980872444,0.107950902410193,0.0435916521614743,0.835585462090969,0.174142381747239,0.0100537198209722,0.13877222031841,0.0744129700696909,0.693980738507193,0.0254024936445789,-0.035188164845954,0.0935303356514834,0.0291710854027647,0.87479651792787,0.357532762236827,0.0345788642736493,0.163297364771087,0.098938114522368,0.710014095327782,0.00423862994787843,0.0391623742017075,0.167880874699145,0.103521624450426,1,0.00298692156114921,0.0134730237400684,0.142191524237506,0.0778322739887871,0.775486423956727,0.0200002904361841,-0.00110215081982504,0.127616349677612,0.0632570994288937,0.746953596072255,0.0537140324683078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","NP_001230926.1_LOC100689011",4.63788719830994,4.63445889001297,4.61721990366657,4.64735114121621,4.6554149308281,4.6332870435073,4.6422575219007,4.65882924447187,4.62797839163846,4.62300143176083,4.65488600680361,4.61817676485184,4.62369567677298,4.65313706734781,4.65495644909079,4.62023511542748,4.63894965682837,4.62682138505323,4.63079896111807,4.67117395451575,4.6279259255824,4.63524514961052,4.65767933697403,4.53429206203392,4.63894255860327,4.6483618649685,4.53069226748195,"LOC100689011",0,0,0,1,0,0,0,1,3,"in producer","NOT IN NONPROD","NP_001230926.1_LOC100689011","NP_001230926.1_LOC100689011","#N/A","NP_001230926.1_LOC100689011",TRUE,5,-0.0305564202612431,0.0782692875517534,0.0238564336452551,0.820095128799156,0.373173959004365,-0.0150607124072006,0.0937649954057959,0.0393521414992977,0.832309317895938,0.147917126583226,-0.0173900315873926,0.0914356762256038,0.0370228223191056,0.746815071830667,0.17226814084671,-0.0283903497856436,0.0804353580273528,0.0260225041208546,0.873521986745979,0.332173557792478,-0.016482019853879,0.0923436879591174,0.0379308340526192,0.786580305116479,0.162418154947384,-0.0317430318213786,0.0770826759916178,0.0226698220851196,1,0.397000693420176,-0.0171121371856625,0.0917135706273339,0.0373007167208357,0.819093470928513,0.169204048516886,-0.0513395680515793,0.0574861397614172,0.00307328585491895,0.827319723598481,0.90784210651513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","NP_001230930.1_Pex5",4.69165820902712,4.68570558886578,4.6759659653481,4.62419266197395,4.67593492659261,4.67166833160378,4.69022298411632,4.67731877222437,4.68569715605549,4.6549382981053,4.64769831669301,4.67387882691306,4.6874197487078,4.69280366581243,4.70494019048047,4.68852134554023,4.69591961315097,4.72981001381402,4.66591583054379,4.68867078929424,4.66730083452742,4.6494533703552,4.68588237222895,4.67564939809082,4.68867678324041,4.69447535942691,4.52826808503214,"Pex5",0,0,0,0,0,0,0,0,3,"in producer","NOT IN NONPROD","NP_001230930.1_Pex5","NP_001230930.1_Pex5","#N/A","NP_001230930.1_Pex5",TRUE,3,-0.0085882779274694,0.103194634955165,0.0473031785138476,0.789843087575227,0.0931654456976796,-0.0357662256176908,0.0760166872649431,0.0201252308236262,0.855609745987278,0.463225261040077,-0.00861856154240602,0.103164351340228,0.047272894898911,0.730055574076953,0.0933621082555793,-0.0341930517706762,0.0775898611119577,0.0216984046706408,0.878010895665698,0.429469515480326,0.00202300265909784,0.113805915541732,0.0579144591004148,0.759665269022938,0.0428977166621133,0.0117187918272729,0.123501704709907,0.0676102482685899,1,0.0199703900377342,-0.0190690475526493,0.0927138653299847,0.0368224088886677,0.820958406847178,0.185711194432654,-0.0227031521161413,0.0890797607664927,0.0331883043251757,0.786901125439054,0.231231407434986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","NP_001230931.2_Polr2a",4.7012966103541,4.66435198267268,4.67118958303361,4.67407131882507,4.64353446176372,4.69048340936892,4.69665463036315,4.68956976461495,4.6918200420131,4.67890570979012,4.65737299789471,4.70651042705057,4.68352498289868,4.60678697447011,4.69280331159196,4.69438138528472,4.63855022622721,4.64481034506116,4.69844477909124,4.63458770151393,4.6700979759644,4.68262950293241,4.6769578757087,4.67919627362791,4.59732138763444,4.68934542042128,4.61787521749734,"Polr2a",0,0,0,0,0,0,0,0,2,"in producer","NOT IN NONPROD","NP_001230931.2_Polr2a","NP_001230931.2_Polr2a","#N/A","NP_001230931.2_Polr2a",TRUE,2,-0.00437729513295146,0.0925747288045044,0.0440987168357765,0.784425706994782,0.0724938782652899,-0.0139602905005096,0.0829917334369463,0.0345157214682184,0.833118139593804,0.153998871333362,0.00935812517732007,0.106310149114776,0.057834137146048,0.689275127134472,0.0215313923905834,-0.00239364224128177,0.0945583816961741,0.0460823697274462,0.844727470387756,0.0613820920024125,-0.0222849308328292,0.0746670931046267,0.0261910811358987,0.797441694584155,0.274678334694264,-0.0240760349620534,0.0728759889754025,0.0243999770066745,1,0.307979878716917,-0.0156132016298886,0.0813388223075673,0.0328628103388393,0.819627218445367,0.173776105224717,-0.00372880306340814,0.0932232208740477,0.0447472089053198,0.753775563280572,0.0686811827291164,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","NP_001230935.1_Chcr2",4.76640765431063,4.7509643168922,4.78605913396839,4.7473661796333,4.72321214966645,4.79009147048505,4.78886150408982,4.75131948837119,4.76044204888978,4.77153565190569,4.74081524586068,4.7931294508714,4.77577602990265,4.79409720403154,4.80246668515098,4.79473657586117,4.76166078162675,4.79170512221859,4.75155653302504,4.77678443265803,4.76595655524373,4.73682179683145,4.75867203643536,4.77454726981944,4.71334089844993,4.65956956458136,4.68757262262748,"Chcr2",0,0,0,0,0,0,0,0,1,"in producer","DETECTED IN NONPROD","NP_001230935.1_Chcr2","NP_001230935.1_Chcr2","#N/A","NP_001230935.1_Chcr2",TRUE,1,0.0440565601517391,0.117908786189894,0.0809826731708165,0.620570612222917,0.000156651132088521,0.0298027916895998,0.103655017727755,0.0667289047086772,0.717301510283615,0.00110840847007109,0.0431205388782652,0.11697276491642,0.0800466518973426,0.532969780074599,0.000178164356063125,0.04473964130726,0.118591867345415,0.0816657543263375,0.703130647030809,0.000142614850984874,0.0670261647897248,0.14087839082788,0.103952277808802,0.549226404453548,6.98388041292262e-06,0.0589470183301723,0.132799244368327,0.0958731313492498,1,2.05591644242786e-05,0.041012032070268,0.114864258108423,0.0779381450893455,0.660997555213206,0.000238109455190108,0.0329265594567496,0.106778785494904,0.069852672475827,0.606990775650754,0.000723210224462434,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","NP_001230956.1_Cdk2",4.6262496878866,4.66473164739468,4.66698822637689,4.68374513012831,4.67615904576882,4.63718769993073,4.66269410819716,4.67355946992771,4.65583136485876,4.67240789261089,4.63404723863828,4.70229229752614,4.66224529002439,4.65406712594269,4.62890752170178,4.70067147125853,4.66813127949984,4.67816222344829,4.65742610924095,4.62218127773206,4.64616373629799,4.643948746657,4.63491149686676,4.64846702377843,4.64653120075421,4.65181443520344,4.57922636987767,"Cdk2",0,0,0,0,0,0,0,0,2,"in producer","NOT IN NONPROD","NP_001230956.1_Cdk2","NP_001230956.1_Cdk2","#N/A","NP_001230956.1_Cdk2",TRUE,2,-0.0124841608386441,0.0660825313872093,0.0267991852742826,0.802939615706863,0.171185356828975,0.000556610551252917,0.0791233027771063,0.0398399566641796,0.808976788392854,0.0471027129831793,-0.00111236706348958,0.0774543251623638,0.0381709790494371,0.716179111878773,0.0562723416179083,0.00444179486707011,0.0830084870929235,0.0437251409799968,0.832427407742612,0.0307499288116643,-0.0167340355017449,0.0618326567241085,0.0225493106111818,0.795184139429736,0.246645721559239,0.0171809766775175,0.0957476689033709,0.0564643227904442,1,0.00688014507412928,-0.0232169736343663,0.055349718591487,0.0160663724785604,0.836971264797377,0.405574780082074,-0.0226982589573052,0.0558684332685482,0.0165850871556215,0.80146962829666,0.390828820807753,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","NP_001230963.1_Top1",4.93329800484682,4.89326885780179,4.91505029078448,4.90949947295118,4.88091129573472,4.89070501459664,4.8794595516191,4.91752725128925,4.87506906330392,4.98335637930589,4.9692891788987,4.93013501721952,4.92014814387532,4.87623802688524,4.91087474885648,4.86997180863406,4.86571140579999,4.9022947255802,4.97738077992979,4.95494623077179,5.01083882426418,4.97926181292169,5.00149907011442,5.00486832224377,5.0523214946185,5.05734399146753,5.04758348405676,"Top1",0,0,0,0,0,0,0,0,0,"in producer","DETECTED IN NONPROD","NP_001230963.1_Top1","NP_001230963.1_Top1","#N/A","NP_001230963.1_Top1",FALSE,0,-0.173927171300211,-0.103160706506256,-0.138543938903234,0.319315001836522,4.42972566571673e-08,-0.194094294683733,-0.123327829889778,-0.158711062286756,0.191193577898815,4.21328661834373e-09,-0.197114267040483,-0.126347802246528,-0.161731034643505,0.148596809391531,3.00836264145632e-09,-0.126872697303204,-0.0561062325092493,-0.0914894649062266,0.635906888716817,2.16819866803817e-05,-0.185379249238897,-0.114612784444942,-0.14999601684192,0.343587473398157,1.13886656781161e-08,-0.208473575773159,-0.137707110979205,-0.173090343376182,1,8.77138849291413e-10,-0.106744277455993,-0.0359778126620384,-0.0713610450590156,0.675636151670217,0.000383534744698585,-0.0925898206846162,-0.0218233558906617,-0.0572065882876389,0.656943162893693,0.0028672573281479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11","NP_001230969.1_Rps17",4.78390198183173,4.81936409376447,4.82262327290975,4.7689017407665,4.77047870393021,4.82339016298257,4.8397391123339,4.81195074037606,4.81590624301699,4.83589550143656,4.80346839070021,4.79254363618806,4.82595283762652,4.84175241095309,4.83822355098631,4.84112849170113,4.83458560142724,4.84458100121452,4.77881588415672,4.82536073597978,4.82615662556,4.8180256288984,4.79731039041707,4.83079446466524,4.9094792386055,4.91301094514818,4.83176263508521,"Rps17",0,0,0,0,0,0,0,0,0,"in producer","DETECTED IN NONPROD","NP_001230969.1_Rps17","NP_001230969.1_Rps17","#N/A","NP_001230969.1_Rps17",FALSE,0,-0.116681035315591,-0.0355612782397025,-0.0761211567776465,0.671615719640281,0.000779915064201829,-0.137720615591143,-0.0566008585152555,-0.0971607370531995,0.615773000796795,5.62518503841437e-05,-0.102778786241926,-0.0216590291660379,-0.0622189077039819,0.641176736370222,0.00430707662104811,-0.114674975375965,-0.0335552183000771,-0.0741150968380211,0.758957643109913,0.00100111730058038,-0.0900012182956005,-0.00888146121971253,-0.0494413397576565,0.743012257540037,0.0191436976345033,-0.0852124533699421,-0.00409269629405415,-0.0446525748319981,1,0.0324347003751934,-0.115199736252073,-0.0340799791761854,-0.0746398577141294,0.701380652809127,0.000937881537581562,-0.109933990157333,-0.0288142330814451,-0.0693741116193891,0.640690091337089,0.00180018190369031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13","NP_001230974.1_Adsl",4.75748554018579,4.750068148923,4.7694009311381,4.77269421794025,4.74189855408905,4.75971376332831,4.76505085531808,4.75027544497841,4.75041341676639,4.75197407959208,4.7624043057101,4.78166620015261,4.77406561130232,4.75689886205243,4.76666088023866,4.78070153551499,4.77639344000665,4.79544448945591,4.76165695564562,4.75632290153614,4.76819625965391,4.75011777503646,4.75972387955526,4.7622589761098,4.60032858649181,4.64124519285787,4.59690929704907,"Adsl",0,0,0,0,0,0,0,0,2,"in producer","NOT IN NONPROD","NP_001230974.1_Adsl","NP_001230974.1_Adsl","#N/A","NP_001230974.1_Adsl",TRUE,2,0.120895659233992,0.171418703331441,0.146157181282716,0.0841403816448426,3.70448881550561e-11,0.120012964270894,0.170536008368343,0.145274486319618,0.0591940113467637,4.16362448546152e-11,0.117157358172651,0.1676804022701,0.142418880221375,0.0600834435131215,6.09834939469676e-11,0.127258980969951,0.1777820250674,0.152520503018676,0.0589200981412273,1.62021175666525e-11,0.127785903682828,0.178308947780277,0.153047425731552,0.113807310859415,1.51476164104136e-11,0.146090607477541,0.196613651574989,0.171352129526265,1,1.62387714843649e-12,0.123969491430248,0.174492535527697,0.149231013478972,0.077295069660779,2.47624154845735e-11,0.119277662718864,0.169800706816313,0.144539184767589,0.0339819073381961,4.59110148892349e-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
