label,condition,replicate
LFQ intensity A4_R1,A4,1
LFQ intensity A4_R2,A4,2
LFQ intensity A4_R3,A4,3
LFQ intensity A6_R1,A6,1
LFQ intensity A6_R2,A6,2
LFQ intensity A6_R3,A6,3
LFQ intensity B2_R1,B2,1
LFQ intensity B2_R2,B2,2
LFQ intensity B2_R3,B2,3
LFQ intensity E10_R1,E10,1
LFQ intensity E10_R2,E10,2
LFQ intensity E10_R3,E10,3
LFQ intensity E6_R1,E6,1
LFQ intensity E6_R2,E6,2
LFQ intensity E6_R3,E6,3
LFQ intensity E9_R1,E9,1
LFQ intensity E9_R2,E9,2
LFQ intensity E9_R3,E9,3
LFQ intensity F1_R1,F1,1
LFQ intensity F1_R2,F1,2
LFQ intensity F1_R3,F1,3
LFQ intensity G12_R1,G12,1
LFQ intensity G12_R2,G12,2
LFQ intensity G12_R3,G12,3
LFQ intensity L_R1,ctrl,1
LFQ intensity L_R2,ctrl,2
LFQ intensity L_R3,ctrl,3
